season,run_date,team_id,team_name,conference,source,rpi_rank,rpi_points,sos,overall_record,home_record,road_record,neutral_record,g,wins,losses,bat_ba,obp,slg,ops,pa,ab,r,h,2b,3b,hr,rbi,hbp_bat,bb,so,sb,cs,era,cg,sho,sv,ip,ha,er,bb_pitch,k_pitch,hbp_pitch,ba_against,wh,opp_ba,fe,runs_per_game,bb_k_ratio,whip,k_bb_ratio,opponent_ba,errors_per_game,fielding_pct,offense_z,pitching_z,discipline_z,defense_z,composite_score,composite_rank
2026,2026-04-16,texas-tech,Texas Tech,Manual D1Softball Workbook,manual_workbook,9.0,9.0,62.0,42-3,15-1,14-1,13-1,45.0,41.0,3.0,0.398,0.4914,0.7443,1.2357,1400.0,1134.0,449.0,451.0,80.0,11.0,97.0,411.0,26.0,209.0,102.0,101.0,16.0,1.77,25.0,10.0,2.0,254.1,157.0,50.0,66.0,314.0,18.0,0.171,223.0,0.171,0.0,9.9778,2.049,0.8776,4.7576,0.171,0.0,1.0,1.4631,0.7245,2.473,0.0,1.1728,1
2026,2026-04-16,ucla,UCLA,Manual D1Softball Workbook,manual_workbook,8.0,8.0,33.0,38-5,15-0,2026-08-02 00:00:00,15-3,43.0,,,0.385,0.4845,0.8267,1.3112,1457.0,1160.0,471.0,447.0,78.0,7.0,140.0,453.0,51.0,223.0,164.0,14.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,10.9535,1.3598,0.0,0.0,0.0,0.0,1.0,1.8631,0.4889,1.2322,0.0,1.0325,2
2026,2026-04-16,oklahoma,Oklahoma,Manual D1Softball Workbook,manual_workbook,7.0,7.0,36.0,40-4,19-0,14-3,2026-07-01 00:00:00,44.0,40.0,4.0,0.416,0.5063,0.8535,1.3598,1484.0,1215.0,498.0,506.0,69.0,6.0,150.0,484.0,28.0,221.0,155.0,57.0,9.0,2.86,6.0,2.0,3.0,253.0,218.0,80.0,78.0,219.0,26.0,0.229,296.0,0.229,0.0,11.3182,1.4258,1.17,2.8077,0.229,0.0,1.0,1.9178,-0.1469,1.351,0.0,0.8151,3
2026,2026-04-16,north-carolina,North Carolina,Manual D1Softball Workbook,manual_workbook,37.0,37.0,89.0,31-11,23-10,2026-08-01 00:00:00,0-0,42.0,,,0.363,0.4378,0.6545,1.0923,1378.0,1149.0,359.0,417.0,61.0,2.0,90.0,334.0,38.0,153.0,124.0,30.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,8.5476,1.2339,0.0,0.0,0.0,0.0,1.0,1.0836,0.4889,1.0056,0.0,0.7257,4
2026,2026-04-16,northern-iowa,Northern Iowa,Manual D1Softball Workbook,manual_workbook,,,,,,,,38.0,,,0.339,0.4511,0.6343,1.0854,1315.0,1061.0,319.0,360.0,67.0,6.0,78.0,299.0,17.0,216.0,200.0,33.0,13.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,8.3947,1.08,0.0,0.0,0.0,0.0,1.0,1.0742,0.4889,0.7285,0.0,0.6808,5
2026,2026-04-16,texas-a-and-m,Texas A&M,Manual D1Softball Workbook,manual_workbook,18.0,18.0,14.0,30-12,17-3,2026-06-04 00:00:00,2026-07-05 00:00:00,42.0,,,0.356,0.4542,0.6011,1.0553,1346.0,1083.0,311.0,386.0,70.0,6.0,61.0,292.0,33.0,194.0,150.0,44.0,10.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,7.4048,1.2933,0.0,0.0,0.0,0.0,1.0,0.8254,0.4889,1.1125,0.0,0.6513,6
2026,2026-04-16,alabama,Alabama,Manual D1Softball Workbook,manual_workbook,4.0,4.0,18.0,39-4,22-2,2026-12-02 00:00:00,5-0,43.0,39.0,4.0,0.345,0.4326,0.6087,1.0413,1320.0,1086.0,298.0,375.0,52.0,9.0,72.0,285.0,31.0,167.0,156.0,60.0,10.0,1.68,15.0,7.0,2.0,273.2,164.0,51.0,80.0,342.0,16.0,0.168,244.0,0.168,0.0,6.9302,1.0705,0.8931,4.275,0.168,0.0,1.0,0.8234,0.6243,0.7114,0.0,0.6446,7
2026,2026-04-16,robert-morris,Robert Morris,Manual D1Softball Workbook,manual_workbook,,,,,,,,32.0,,,0.362,0.438,0.6492,1.0872,1078.0,895.0,293.0,324.0,56.0,9.0,61.0,269.0,30.0,121.0,156.0,30.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9.1562,0.7756,0.0,0.0,0.0,0.0,1.0,1.1239,0.4889,0.1805,0.0,0.616,8
2026,2026-04-16,boston-university,Boston University,Manual D1Softball Workbook,manual_workbook,62.0,62.0,185.0,34-12,14-1,2026-10-05 00:00:00,2026-10-06 00:00:00,45.0,,,0.342,0.431,0.5376,0.9686,1467.0,1209.0,340.0,413.0,68.0,14.0,47.0,298.0,44.0,190.0,150.0,24.0,11.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,7.5556,1.2667,0.0,0.0,0.0,0.0,1.0,0.6469,0.4889,1.0646,0.0,0.5817,9
2026,2026-04-16,nebraska,Nebraska,Manual D1Softball Workbook,manual_workbook,5.0,5.0,4.0,33-6,2026-12-01 00:00:00,2026-10-01 00:00:00,2026-11-04 00:00:00,39.0,33.0,6.0,0.326,0.3988,0.5917,0.9905,1258.0,1080.0,262.0,352.0,63.0,10.0,68.0,249.0,25.0,131.0,145.0,27.0,9.0,2.04,12.0,8.0,11.0,259.1,211.0,59.0,66.0,331.0,18.0,0.213,277.0,0.213,0.0,6.7179,0.9034,1.0691,5.0152,0.213,0.0,1.0,0.7758,0.6201,0.4106,0.0,0.5812,10
